id,geo_city,country,weight,rep_patent,lat,lon
211h112u5a05j1d40524zo335x35515b5b1s24,"Cambridge, MA",US,0.3333333333333333,US9512073,42.3656347,-71.1040018
211h112u5a05j1d40524zo335x35515b5b1s24,"Belmont, MA",US,0.1111111111111111,US9512073,42.3959296,-71.1786655
211h112u5a05j1d40524zo335x35515b5b1s24,"Ithaca, NY",US,0.1111111111111111,US9512073,42.4374175,-76.5483724
2c3d5dh2m3n66443l5s5tk5t91w5j3f1u692r,VIENNA,AT,0.5,US9512432,48.2083537,16.3725042
2c3d5dh2m3n66443l5s5tk5t91w5j3f1u692r,Vienna,AT,0.16666666666666666,US9512432,48.2083537,16.3725042
2c3d5dh2m3n66443l5s5tk5t91w5j3f1u692r,Visp,CH,0.16666666666666666,US9512432,46.2913113,7.8811918
2c3d5dh2m3n66443l5s5tk5t91w5j3f1u692r,VISP,CH,0.16666666666666666,US9512432,46.2913113,7.8811918
1v6m4d726d71374m181o4g722m493i4345l3cb,"Winchester, MA",US,0.3333333333333333,US9512446,42.4523178,-71.1369982
1v6m4d726d71374m181o4g722m493i4345l3cb,"Medford, MA",US,0.3333333333333333,US9512446,42.4184296,-71.1061639
1v6m4d726d71374m181o4g722m493i4345l3cb,"Wellesley, MA",US,0.3333333333333333,US9512446,42.2964859,-71.2925571
1l4d3w691m3a6u4w6c5oz1r2k2q5i4j74y1s1a,"Cambridge, MA",US,0.5714285714285714,US9518103,42.3656347,-71.1040018
1l4d3w691m3a6u4w6c5oz1r2k2q5i4j74y1s1a,Edmonton,CA,0.42857142857142855,US9518103,53.5462055,-113.491241
724541685v372r6frch3y6v511f624a3b14,"Kenilworth, Warwickshire",GB,0.5,US9523086,52.3450526,-1.5816028
724541685v372r6frch3y6v511f624a3b14,"Birmingham, West Midlands",GB,0.5,US9523086,52.4948994,-1.8518439
134z5004d444x6f3m4v3n6r1zqx1440725t6u,"Seattle, WA",US,1.0,US9523105,47.6038321,-122.330062
373ek2v75324s5n551k2k5z694g3u2a5753h,"Brookline, MA",US,0.25,US8889632,42.332918,-71.1187829
373ek2v75324s5n551k2k5z694g3u2a5753h,"Chestnut Hill, MA",US,0.25,US8889632,42.3234553,-71.1639439
373ek2v75324s5n551k2k5z694g3u2a5753h,"Newton, MA",US,0.25,US8889632,42.3300435,-71.194862
373ek2v75324s5n551k2k5z694g3u2a5753h,"Weston, MA",US,0.25,US8889632,42.3667625,-71.3031132
