part_name,pmcid,doi,year
BBa_B0015,PMC12281612,10.1021/acssynbio.5c00320,2025
BBa_J23111,PMC12281612,10.1021/acssynbio.5c00320,2025
BBa_J72163,PMC12305240,10.1016/j.xpro.2025.103973,2025
BBa_B0015,PMC12312269,10.1186/s13068-025-02687-6,2025
BBa_B0030,PMC12274907,10.1016/j.isci.2025.113027,2025
BBa_B0031,PMC12274907,10.1016/j.isci.2025.113027,2025
BBa_B0032,PMC12274907,10.1016/j.isci.2025.113027,2025
BBa_B0034,PMC12274907,10.1016/j.isci.2025.113027,2025
BBa_K243004,PMC12255299,10.1093/nar/gkaf580,2025
BBa_B0032,PMC12236675,10.1101/2025.07.01.662634,2025
BBa_J23100,PMC12203475,10.1021/acsami.5c04638,2025
BBa_J04450,PMC12179317,10.1038/s41523-025-00770-7,2025
BBa_J23100,PMC12186685,10.1021/acssynbio.5c00124,2025
BBa_B1006,PMC12187118,10.1093/procel/pwae054,2025
BBa_K5480009,PMC12157041,10.1371/journal.pone.0325926,2025
BBa_J23100,PMC12175534,10.1128/aem.00045-25,2025
BBa_K3814004,PMC12175534,10.1128/aem.00045-25,2025
BBa_K592100,PMC12159744,10.1093/nar/gkaf511,2025
BBa_J23115,PMC12164975,10.1126/sciadv.ads1630,2025
BBa_B0034,PMC11665862,10.1073/pnas.2409335121,2024
BBa_K1890002,PMC11665862,10.1073/pnas.2409335121,2024
BBa_K243006,PMC12132549,10.1101/2025.05.13.653825,2025
BBa_J23105,PMC12137876,10.1038/s41467-025-60517-7,2025
BBa_B0015,PMC12076865,10.1186/s12934-025-02727-8,2025
BBa_B1001,PMC12056078,10.1038/s41467-025-59103-8,2025
BBa_J23101,PMC12016422,10.1021/acssynbio.4c00453,2024
BBa_J23107,PMC12016422,10.1021/acssynbio.4c00453,2024
BBa_J23110,PMC11997408,10.1016/j.mtbio.2025.101720,2025
BBa_J23119,PMC11997408,10.1016/j.mtbio.2025.101720,2025
BBa_I746908,PMC12004514,10.1021/acs.biomac.5c00010,2025
BBa_B0014,PMC12000639,10.1002/btpr.3512,2024
BBa_K822000,PMC12015303,10.1038/s41467-025-58996-9,2025
BBa_J23116,PMC12004184,10.1021/acsomega.4c11704,2025
BBa_B0014,PMC11964449,10.7554/eLife.97216.3.sa3,2025
BBa_J23101,PMC11977207,10.1038/s44319-025-00386-9,2025
BBa_K592009,PMC11447128,10.1089/apb.2023.0035,2024
BBa_J23114,PMC11890080,10.1007/978-1-0716-3473-8_2,2024
BBa_J23115,PMC11890080,10.1007/978-1-0716-3473-8_2,2024
BBa_J23117,PMC11890080,10.1007/978-1-0716-3473-8_2,2024
BBa_B0015,PMC11901804,10.3390/molecules30051168,2025
BBa_J23105,PMC11951768,10.1186/s13036-025-00493-0,2025
BBa_J23119,PMC11879866,10.1038/s41564-025-01935-7,2025
BBa_J23119,PMC11840067,10.1038/s41467-025-57031-1,2025
BBa_J23119,PMC10911448,10.1016/j.cub.2024.01.029,2024
BBa_K1695000,PMC11852207,10.1021/acssynbio.4c00790,2025
BBa_J23100,PMC11870579,10.1101/2025.02.19.639182,2025
BBa_B0034,PMC11786069,10.1016/j.synbio.2025.01.001,2025
BBa_J23100,PMC11720261,10.3390/ijms26010250,2024
BBa_I712074,PMC11731804,10.52225/narra.v4i3.1283,2024
BBa_B0015,PMC10805104,10.1021/acssynbio.3c00420,2024
BBa_I751502,PMC10805104,10.1021/acssynbio.3c00420,2024
BBa_J23110,PMC11686294,10.1038/s41467-024-54723-y,2024
BBa_B0034,PMC11631409,10.1098/rspb.2024.2312,2024
BBa_J23101,PMC11631409,10.1098/rspb.2024.2312,2024
BBa_B0034,PMC11619377,10.1128/spectrum.01740-24,2024
BBa_J23100,PMC11669158,10.1021/acssynbio.4c00466,2024
BBa_J23114,PMC11669158,10.1021/acssynbio.4c00466,2024
BBa_M0052,PMC11662660,10.1093/nar/gkae1052,2024
BBa_J34801,PMC11661796,10.7554/eLife.98654.3.sa4,2024
BBa_B1006,PMC11660809,10.1186/s13036-024-00460-1,2024
BBa_B0034,PMC11568779,10.1016/j.mec.2024.e00249,2024
BBa_B0034,PMC11559001,10.1128/mbio.01994-24,2024
BBa_J23119,PMC11550136,10.1016/j.isci.2024.111207,2024
BBa_B0064,PMC11538702,10.1002/advs.202403067,2024
BBa_B0015,PMC11564790,10.1016/j.synbio.2024.10.002,2025
BBa_B0034,PMC11564790,10.1016/j.synbio.2024.10.002,2025
BBa_C0062,PMC11564790,10.1016/j.synbio.2024.10.002,2025
BBa_E0040,PMC11564790,10.1016/j.synbio.2024.10.002,2025
BBa_J23104,PMC11564790,10.1016/j.synbio.2024.10.002,2025
BBa_J23100,PMC11522558,10.1038/s42003-024-07112-6,2024
BBa_J23109,PMC11522558,10.1038/s42003-024-07112-6,2024
BBa_B0030,PMC11497010,10.1002/advs.202407599,2024
BBa_B0032,PMC11497010,10.1002/advs.202407599,2024
BBa_B0033,PMC11497010,10.1002/advs.202407599,2024
BBa_B0034,PMC11497010,10.1002/advs.202407599,2024
BBa_B0035,PMC11497010,10.1002/advs.202407599,2024
BBa_K923001,PMC11446346,10.1016/j.biotno.2023.02.002,2023
BBa_K923002,PMC11446346,10.1016/j.biotno.2023.02.002,2023
BBa_I0500,PMC11479628,10.1038/s41467-024-52976-1,2024
BBa_J23119,PMC11462663,10.1186/s12934-024-02543-6,2024
BBa_J23100,PMC11486981,10.1038/s41467-024-53381-4,2024
BBa_B0033,PMC11479589,10.7554/eLife.97754.3.sa3,2024
BBa_B0034,PMC11479589,10.7554/eLife.97754.3.sa3,2024
BBa_J23100,PMC11449890,10.3389/fbioe.2024.1470830,2024
BBa_B0034,PMC11334176,10.1021/acssynbio.4c00117,2024
BBa_K2560002,PMC11334176,10.1021/acssynbio.4c00117,2024
BBa_K157009,PMC11349869,10.1093/jxb/erae234,2024
BBa_K157013,PMC11349869,10.1093/jxb/erae234,2024
BBa_K365005,PMC11349869,10.1093/jxb/erae234,2024
BBa_J23100,PMC11340173,10.1186/s12934-024-02505-y,2024
BBa_B0010,PMC11336265,10.1016/j.heliyon.2024.e35050,2024
BBa_B0015,PMC11336265,10.1016/j.heliyon.2024.e35050,2024
BBa_B0030,PMC11336265,10.1016/j.heliyon.2024.e35050,2024
BBa_E1010,PMC11336265,10.1016/j.heliyon.2024.e35050,2024
BBa_I721001,PMC11336265,10.1016/j.heliyon.2024.e35050,2024
BBa_I721002,PMC11336265,10.1016/j.heliyon.2024.e35050,2024
